state,article_title,revision_id,article_quality,regional_division,population
Alabama,"Banks, Alabama",1166014997,C,East South Central,5074296
Alabama,"Bay Minette, Alabama",1177963600,C,East South Central,5074296
Alabama,"Bayou La Batre, Alabama",1177999052,C,East South Central,5074296
Alabama,"Bear Creek, Alabama",1166015184,GA,East South Central,5074296
Alabama,"Beatrice, Alabama",1166015214,C,East South Central,5074296
Alabama,"Beaverton, Alabama",1166015251,Start,East South Central,5074296
Alabama,"Belk, Alabama",1166015313,C,East South Central,5074296
Alabama,"Benton, Alabama",1166015434,C,East South Central,5074296
Alabama,"Berlin, Alabama",1166015476,Start,East South Central,5074296
Alabama,"Berry, Alabama",1166015515,C,East South Central,5074296
Alabama,"Bessemer, Alabama",1178999596,C,East South Central,5074296
Alabama,"Billingsley, Alabama",1166015695,Start,East South Central,5074296
Alabama,"Birmingham, Alabama",1179414429,B,East South Central,5074296
Alabama,"Black, Alabama",1166015772,Start,East South Central,5074296
Alabama,"Blountsville, Alabama",1105978061,GA,East South Central,5074296
Alabama,"Blue Springs, Alabama",1166015902,Start,East South Central,5074296
Alabama,"Boaz, Alabama",1177138566,GA,East South Central,5074296
Alabama,"Boligee, Alabama",1166015957,C,East South Central,5074296
Alabama,"Bon Air, Alabama",1166015981,C,East South Central,5074296
Alabama,"Brantley, Alabama",1165814013,C,East South Central,5074296
Alabama,"Brent, Alabama",1172245542,GA,East South Central,5074296
Alabama,"Brewton, Alabama",1162427481,GA,East South Central,5074296
Alabama,"Bridgeport, Alabama",1165537046,GA,East South Central,5074296
Alabama,"Brighton, Alabama",1177621572,C,East South Central,5074296
Alabama,"Brilliant, Alabama",1166016323,GA,East South Central,5074296
Alabama,"Brookside, Alabama",1170769013,C,East South Central,5074296
Alabama,"Brookwood, Alabama",1178216914,C,East South Central,5074296
Alabama,"Brundidge, Alabama",1165537457,C,East South Central,5074296
Alabama,"Butler, Alabama",1144752979,C,East South Central,5074296
Alabama,"Calera, Alabama",1165537934,C,East South Central,5074296
Alabama,"Camden, Alabama",1176316224,GA,East South Central,5074296
Alabama,"Camp Hill, Alabama",1166017104,C,East South Central,5074296
Alabama,"Carbon Hill, Alabama",1175376595,C,East South Central,5074296
Alabama,"Cardiff, Alabama",1166017260,Start,East South Central,5074296
Alabama,"Carolina, Alabama",1166017310,Start,East South Central,5074296
Alabama,"Carrollton, Alabama",1096812581,C,East South Central,5074296
Alabama,"Castleberry, Alabama",1166017442,Start,East South Central,5074296
Alabama,"Cedar Bluff, Alabama",1177836881,C,East South Central,5074296
Alabama,"Center Point, Alabama",1174837569,C,East South Central,5074296
Alabama,"Centre, Alabama",1164314017,C,East South Central,5074296
Alabama,"Centreville, Alabama",1172134285,C,East South Central,5074296
Alabama,"Chatom, Alabama",1159488446,C,East South Central,5074296
Alabama,"Chelsea, Alabama",1165539092,C,East South Central,5074296
Alabama,"Cherokee, Alabama",1166017755,C,East South Central,5074296
Alabama,"Chickasaw, Alabama",1165539195,C,East South Central,5074296
Alabama,"Childersburg, Alabama",1165539227,GA,East South Central,5074296
Alabama,"Citronelle, Alabama",1165539457,C,East South Central,5074296
Alabama,"Clanton, Alabama",1158612343,GA,East South Central,5074296
Alabama,"Clay, Alabama",1177621993,C,East South Central,5074296
Alabama,"Clayhatchee, Alabama",1166018079,Start,East South Central,5074296
Alabama,"Clayton, Alabama",1155236230,C,East South Central,5074296
Alabama,"Cleveland, Alabama",1168466910,C,East South Central,5074296
Alabama,"Clio, Alabama",1165644511,Start,East South Central,5074296
Alabama,"Coaling, Alabama",1166018304,C,East South Central,5074296
Alabama,"Coffee Springs, Alabama",1166018326,Start,East South Central,5074296
Alabama,"Coffeeville, Alabama",1166029689,C,East South Central,5074296
Alabama,"Coker, Alabama",1166018360,Start,East South Central,5074296
Alabama,"Collinsville, Alabama",1177947751,C,East South Central,5074296
Alabama,"Colony, Alabama",1166018463,GA,East South Central,5074296
Alabama,"Columbia, Alabama",1166018475,C,East South Central,5074296
Alabama,"Columbiana, Alabama",1151357569,C,East South Central,5074296
Alabama,"Coosada, Alabama",1172561590,C,East South Central,5074296
Alabama,"Cordova, Alabama",1165645181,GA,East South Central,5074296
Alabama,"Cottonwood, Alabama",1096812941,C,East South Central,5074296
Alabama,"County Line, Alabama",1166018950,Start,East South Central,5074296
Alabama,"Courtland, Alabama",1157580326,GA,East South Central,5074296
Alabama,"Cowarts, Alabama",1166019003,C,East South Central,5074296
Alabama,"Creola, Alabama",1139764613,GA,East South Central,5074296
Alabama,"Crossville, Alabama",1166066155,C,East South Central,5074296
Alabama,"Cuba, Alabama",1175879685,C,East South Central,5074296
Alabama,"Cullman, Alabama",1179901410,B,East South Central,5074296
Alabama,"Cusseta, Alabama",1172824345,Start,East South Central,5074296
Alabama,"Dadeville, Alabama",1158607851,C,East South Central,5074296
Alabama,"Daleville, Alabama",1154496305,GA,East South Central,5074296
Alabama,"Daphne, Alabama",1165646156,FA,East South Central,5074296
Alabama,"Dauphin Island, Alabama",1174226588,B,East South Central,5074296
Alabama,"Daviston, Alabama",1166066473,C,East South Central,5074296
Alabama,"Dayton, Alabama",1166066487,C,East South Central,5074296
Alabama,"Deatsville, Alabama",1166066515,C,East South Central,5074296
Alabama,"Decatur, Alabama",1178063438,C,East South Central,5074296
Alabama,"Demopolis, Alabama",1161394946,B,East South Central,5074296
Alabama,"Detroit, Alabama",1166066756,Start,East South Central,5074296
Alabama,"Dodge City, Alabama",1166066982,Start,East South Central,5074296
Alabama,"Dora, Alabama",1165647022,C,East South Central,5074296
Alabama,"Dothan, Alabama",1179231968,B,East South Central,5074296
Alabama,"Double Springs, Alabama",1159024876,C,East South Central,5074296
Alabama,"Douglas, Alabama",1166067023,GA,East South Central,5074296
Alabama,"Dozier, Alabama",1096813187,Start,East South Central,5074296
Alabama,"Dutton, Alabama",1166067175,C,East South Central,5074296
Alabama,"East Brewton, Alabama",1165647609,C,East South Central,5074296
Alabama,"Eclectic, Alabama",1145048302,C,East South Central,5074296
Alabama,"Edwardsville, Alabama",1166067508,C,East South Central,5074296
Alabama,"Elba, Alabama",1163400900,C,East South Central,5074296
Alabama,"Elberta, Alabama",1175895043,C,East South Central,5074296
Alabama,"Eldridge, Alabama",1178177223,Start,East South Central,5074296
Alabama,"Elkmont, Alabama",1176555126,C,East South Central,5074296
Alabama,"Elmore, Alabama",1166067658,C,East South Central,5074296
Alabama,"Emelle, Alabama",1158753175,C,East South Central,5074296
Alabama,"Enterprise, Alabama",1160273773,C,East South Central,5074296
Alabama,"Epes, Alabama",1166067751,C,East South Central,5074296
Alabama,"Ethelsville, Alabama",1166067848,Start,East South Central,5074296
Alabama,"Eufaula, Alabama",1160493671,GA,East South Central,5074296
Alabama,"Eutaw, Alabama",1158611853,C,East South Central,5074296
Alabama,"Eva, Alabama",1166067877,GA,East South Central,5074296
Alabama,"Evergreen, Conecuh County, Alabama",1158611789,C,East South Central,5074296
Alabama,"Excel, Alabama",1166067942,C,East South Central,5074296
Alabama,"Fairfield, Alabama",1177239572,C,East South Central,5074296
Alabama,"Fairhope, Alabama",1173963070,C,East South Central,5074296
Alabama,"Fairview, Alabama",1166068021,C,East South Central,5074296
Alabama,"Falkville, Alabama",1166068054,GA,East South Central,5074296
Alabama,"Faunsdale, Alabama",1167428050,GA,East South Central,5074296
Alabama,"Fayette, Alabama",1142947111,C,East South Central,5074296
Alabama,"Five Points, Alabama",1166068289,C,East South Central,5074296
Alabama,"Flomaton, Alabama",1166244039,C,East South Central,5074296
Alabama,"Florala, Alabama",1166068321,C,East South Central,5074296
Alabama,"Florence, Alabama",1178304592,C,East South Central,5074296
Alabama,"Foley, Alabama",1166414056,C,East South Central,5074296
Alabama,"Forkland, Alabama",1166068466,C,East South Central,5074296
Alabama,"Fort Deposit, Alabama",1177020476,C,East South Central,5074296
Alabama,"Fort Payne, Alabama",1172551841,GA,East South Central,5074296
Alabama,"Franklin, Alabama",1166068620,GA,East South Central,5074296
Alabama,"Frisco City, Alabama",1166068863,C,East South Central,5074296
Alabama,"Fruithurst, Alabama",1166068877,Start,East South Central,5074296
Alabama,"Fulton, Alabama",1166068885,Start,East South Central,5074296
Alabama,"Fultondale, Alabama",1165840932,C,East South Central,5074296
Alabama,"Fyffe, Alabama",1160192215,C,East South Central,5074296
Alabama,"Gadsden, Alabama",1177146243,C,East South Central,5074296
Alabama,"Gainesville, Alabama",1166068936,C,East South Central,5074296
Alabama,"Gantt, Alabama",1166068957,Start,East South Central,5074296
Alabama,"Garden City, Alabama",1166068968,C,East South Central,5074296
Alabama,"Gardendale, Alabama",1175530987,C,East South Central,5074296
Alabama,"Gaylesville, Alabama",1166069113,C,East South Central,5074296
Alabama,"Geiger, Alabama",1166069121,Start,East South Central,5074296
Alabama,"Geneva, Alabama",1179698088,C,East South Central,5074296
Alabama,"Georgiana, Alabama",1178540000,Start,East South Central,5074296
Alabama,"Geraldine, Alabama",1166069211,C,East South Central,5074296
Alabama,"Gilbertown, Alabama",1166069407,C,East South Central,5074296
Alabama,"Glen Allen, Alabama",1166069457,C,East South Central,5074296
Alabama,"Glencoe, Alabama",1165748058,C,East South Central,5074296
Alabama,"Glenwood, Alabama",1096814086,Start,East South Central,5074296
Alabama,"Goldville, Alabama",1177535939,Start,East South Central,5074296
Alabama,"Good Hope, Alabama",1165748200,C,East South Central,5074296
Alabama,"Goodwater, Alabama",1166069571,C,East South Central,5074296
Alabama,"Gordo, Alabama",1176908359,C,East South Central,5074296
Alabama,"Gordon, Alabama",1166069580,C,East South Central,5074296
Alabama,"Gordonville, Alabama",1166069594,C,East South Central,5074296
Alabama,"Goshen, Alabama",1166069601,C,East South Central,5074296
Alabama,"Grant, Alabama",1166069728,GA,East South Central,5074296
Alabama,"Graysville, Alabama",1177622200,C,East South Central,5074296
Alabama,"Greensboro, Alabama",1172134373,C,East South Central,5074296
Alabama,"Greenville, Alabama",1171417115,C,East South Central,5074296
Alabama,"Grimes, Alabama",1166180119,Start,East South Central,5074296
Alabama,"Grove Hill, Alabama",1144754911,C,East South Central,5074296
Alabama,"Guin, Alabama",1173001379,C,East South Central,5074296
Alabama,"Gulf Shores, Alabama",1174473447,C,East South Central,5074296
Alabama,"Guntersville, Alabama",1169878221,C,East South Central,5074296
Alabama,"Gurley, Alabama",1173078483,C,East South Central,5074296
Alabama,"Gu-Win, Alabama",1175521277,C,East South Central,5074296
Alabama,"Hackleburg, Alabama",1167581471,GA,East South Central,5074296
Alabama,"Haleburg, Alabama",1166180281,C,East South Central,5074296
Alabama,"Haleyville, Alabama",1168590141,GA,East South Central,5074296
Alabama,"Hamilton, Alabama",1170634832,C,East South Central,5074296
Alabama,"Hammondville, Alabama",1166180369,C,East South Central,5074296
Alabama,"Hanceville, Alabama",1169612470,C,East South Central,5074296
Alabama,"Harpersville, Alabama",1177953234,C,East South Central,5074296
Alabama,"Hartford, Alabama",1165749307,C,East South Central,5074296
Alabama,"Hartselle, Alabama",1165749341,C,East South Central,5074296
Alabama,"Hayden, Alabama",1166180747,C,East South Central,5074296
Alabama,"Hayneville, Alabama",1166180764,C,East South Central,5074296
Alabama,"Headland, Alabama",1168369252,C,East South Central,5074296
Alabama,"Heath, Alabama",1166180800,Start,East South Central,5074296
Alabama,"Heflin, Alabama",1176321971,C,East South Central,5074296
Alabama,"Helena, Alabama",1177702091,C,East South Central,5074296
Alabama,"Henagar, Alabama",1165749718,C,East South Central,5074296
Alabama,"Highland Lake, Alabama",1166180993,Start,East South Central,5074296
Alabama,"Hillsboro, Alabama",1166181055,C,East South Central,5074296
Alabama,"Hobson City, Alabama",1166181157,C,East South Central,5074296
Alabama,"Hodges, Alabama",1166181162,C,East South Central,5074296
Alabama,"Hokes Bluff, Alabama",1165750177,C,East South Central,5074296
Alabama,"Holly Pond, Alabama",1166181271,C,East South Central,5074296
Alabama,"Hollywood, Alabama",1166181286,C,East South Central,5074296
Alabama,"Homewood, Alabama",1177622299,GA,East South Central,5074296
Alabama,"Hoover, Alabama",1177622412,C,East South Central,5074296
Alabama,"Horn Hill, Alabama",1166181398,Start,East South Central,5074296
Alabama,"Hueytown, Alabama",1177622536,C,East South Central,5074296
Alabama,"Huntsville, Alabama",1179363035,FA,East South Central,5074296
Alabama,"Hurtsboro, Alabama",1096814754,C,East South Central,5074296
Alabama,"Hytop, Alabama",1166181602,Start,East South Central,5074296
Alabama,"Ider, Alabama",1166181612,C,East South Central,5074296
Alabama,"Indian Springs Village, Alabama",1166181665,C,East South Central,5074296
Alabama,"Irondale, Alabama",1169440818,C,East South Central,5074296
Alabama,"Jackson, Alabama",1165750992,C,East South Central,5074296
Alabama,"Jackson's Gap, Alabama",1166181798,Start,East South Central,5074296
Alabama,"Jacksonville, Alabama",1175988040,C,East South Central,5074296
Alabama,"Jasper, Alabama",1174380579,C,East South Central,5074296
Alabama,"Jemison, Alabama",1165751151,C,East South Central,5074296
Alabama,"Kansas, Alabama",1166182143,Start,East South Central,5074296
Alabama,"Kellyton, Alabama",1166182186,Stub,East South Central,5074296
Alabama,"Kennedy, Alabama",1166182247,Start,East South Central,5074296
Alabama,"Killen, Alabama",1166182386,C,East South Central,5074296
Alabama,"Kimberly, Alabama",1177622633,C,East South Central,5074296
Alabama,"Kinsey, Alabama",1166182487,C,East South Central,5074296
Alabama,"Kinston, Alabama",1166182489,C,East South Central,5074296
Alabama,"LaFayette, Alabama",1165752571,C,East South Central,5074296
Alabama,"Lake View, Alabama",1170831381,C,East South Central,5074296
Alabama,"Lakeview, Alabama",1166205391,Start,East South Central,5074296
Alabama,"Lanett, Alabama",1165889187,C,East South Central,5074296
Alabama,"Langston, Alabama",1171521067,C,East South Central,5074296
Alabama,"Leeds, Alabama",1179531175,C,East South Central,5074296
Alabama,"Leesburg, Alabama",1166205728,C,East South Central,5074296
Alabama,"Leighton, Alabama",1148926606,C,East South Central,5074296
Alabama,"Lester, Alabama",1166205815,Start,East South Central,5074296
Alabama,"Level Plains, Alabama",1165890044,Start,East South Central,5074296
Alabama,"Lexington, Alabama",1166205880,Start,East South Central,5074296
Alabama,"Libertyville, Alabama",1166205930,Start,East South Central,5074296
Alabama,"Lincoln, Alabama",1165890317,C,East South Central,5074296
Alabama,"Linden, Alabama",1170891816,GA,East South Central,5074296
Alabama,"Lineville, Alabama",1165890459,GA,East South Central,5074296
Alabama,"Lipscomb, Alabama",1177622747,C,East South Central,5074296
Alabama,"Lisman, Alabama",1166206088,C,East South Central,5074296
Alabama,"Littleville, Alabama",1166206172,Start,East South Central,5074296
Alabama,"Livingston, Alabama",1165891122,C,East South Central,5074296
Alabama,"Loachapoka, Alabama",1166206211,C,East South Central,5074296
Alabama,"Lockhart, Alabama",1166206220,C,East South Central,5074296
Alabama,"Locust Fork, Alabama",1173287337,C,East South Central,5074296
Alabama,"Louisville, Alabama",1166206343,Start,East South Central,5074296
Alabama,"Lowndesboro, Alabama",1166206408,C,East South Central,5074296
Alabama,"Loxley, Alabama",1170361974,C,East South Central,5074296
Alabama,"Luverne, Alabama",1173068585,C,East South Central,5074296
Alabama,"Lynn, Alabama",1166206561,Start,East South Central,5074296
Alabama,"Madison, Alabama",1177703025,C,East South Central,5074296
Alabama,"Madrid, Alabama",1166206649,C,East South Central,5074296
Alabama,"Magnolia Springs, Alabama",1166206656,GA,East South Central,5074296
Alabama,"Malvern, Alabama",1166206718,C,East South Central,5074296
Alabama,"Maplesville, Alabama",1166206829,C,East South Central,5074296
Alabama,"Margaret, Alabama",1165892174,C,East South Central,5074296
Alabama,"Marion, Alabama",1165892206,GA,East South Central,5074296
Alabama,"Maytown, Alabama",1166207284,Start,East South Central,5074296
Alabama,"McIntosh, Alabama",1176350576,C,East South Central,5074296
Alabama,"McKenzie, Alabama",1166207344,Start,East South Central,5074296
Alabama,"McMullen, Alabama",1166207363,Start,East South Central,5074296
Alabama,"Memphis, Alabama",1166207484,Start,East South Central,5074296
Alabama,"Mentone, Alabama",1166207510,GA,East South Central,5074296
Alabama,"Midfield, Alabama",1165893352,C,East South Central,5074296
Alabama,"Midland City, Alabama",1166207749,C,East South Central,5074296
Alabama,"Midway, Alabama",1158753496,C,East South Central,5074296
Alabama,"Millbrook, Alabama",1178021676,C,East South Central,5074296
Alabama,"Millport, Alabama",1166207935,C,East South Central,5074296
Alabama,"Millry, Alabama",1166207936,Start,East South Central,5074296
Alabama,"Mobile, Alabama",1178152366,GA,East South Central,5074296
Alabama,"Monroeville, Alabama",1172371452,C,East South Central,5074296
Alabama,"Montevallo, Alabama",1177552745,C,East South Central,5074296
Alabama,"Montgomery, Alabama",1174537991,GA,East South Central,5074296
Alabama,"Moody, Alabama",1179508395,C,East South Central,5074296
Alabama,"Mooresville, Alabama",1169255573,C,East South Central,5074296
Alabama,"Morris, Alabama",1177624137,C,East South Central,5074296
Alabama,"Mosses, Alabama",1175025748,C,East South Central,5074296
Alabama,"Moulton, Alabama",1165894467,C,East South Central,5074296
Alabama,"Moundville, Alabama",1166208667,C,East South Central,5074296
Alabama,"Mount Vernon, Alabama",1166208775,GA,East South Central,5074296
Alabama,"Mountain Brook, Alabama",1172621297,C,East South Central,5074296
Alabama,"Mulga, Alabama",1157496931,Start,East South Central,5074296
Alabama,"Munford, Alabama",1178871326,C,East South Central,5074296
Alabama,"Muscle Shoals, Alabama",1178909921,C,East South Central,5074296
Alabama,"Myrtlewood, Alabama",1166208882,GA,East South Central,5074296
Alabama,"Napier Field, Alabama",1166208894,Start,East South Central,5074296
Alabama,"Natural Bridge, Alabama",1166208941,C,East South Central,5074296
Alabama,"Nauvoo, Alabama",1096820857,C,East South Central,5074296
Alabama,"Nectar, Alabama",1166208963,Start,East South Central,5074296
Alabama,"Needham, Alabama",1166208968,Start,East South Central,5074296
Alabama,"New Brockton, Alabama",1166209021,C,East South Central,5074296
Alabama,"New Hope, Alabama",1179883996,C,East South Central,5074296
Alabama,"New Site, Alabama",1166209336,Start,East South Central,5074296
Alabama,"Newbern, Alabama",1176337691,GA,East South Central,5074296
Alabama,"Newton, Alabama",1166209571,C,East South Central,5074296
Alabama,"Newville, Alabama",1177928995,C,East South Central,5074296
Alabama,"North Courtland, Alabama",1166209704,Start,East South Central,5074296
Alabama,"North Johns, Alabama",1166209738,Start,East South Central,5074296
Alabama,"Northport, Alabama",1167817987,C,East South Central,5074296
Alabama,"Notasulga, Alabama",1175854552,C,East South Central,5074296
Alabama,"Oak Grove, Alabama",1124809704,C,East South Central,5074296
Alabama,"Oak Hill, Alabama",1166209958,C,East South Central,5074296
Alabama,"Oakman, Alabama",1174954255,Start,East South Central,5074296
Alabama,"Odenville, Alabama",1166210198,C,East South Central,5074296
Alabama,"Ohatchee, Alabama",1166210252,C,East South Central,5074296
Alabama,"Oneonta, Alabama",1166092446,C,East South Central,5074296
Alabama,"Onycha, Alabama",1166210466,Start,East South Central,5074296
Alabama,"Opelika, Alabama",1165896665,C,East South Central,5074296
Alabama,"Opp, Alabama",1165896683,C,East South Central,5074296
Alabama,"Orange Beach, Alabama",1179725369,C,East South Central,5074296
Alabama,"Orrville, Alabama",1175606582,C,East South Central,5074296
Alabama,"Owens Cross Roads, Alabama",1172849762,C,East South Central,5074296
Alabama,"Oxford, Alabama",1165896955,C,East South Central,5074296
Alabama,"Ozark, Alabama",1175658038,C,East South Central,5074296
Alabama,"Paint Rock, Alabama",1166210847,C,East South Central,5074296
Alabama,"Parrish, Alabama",1166210982,C,East South Central,5074296
Alabama,"Pelham, Alabama",1174024956,C,East South Central,5074296
Alabama,"Pell City, Alabama",1171029165,C,East South Central,5074296
Alabama,"Pennington, Alabama",1135170013,C,East South Central,5074296
Alabama,"Perdido Beach, Alabama",1166211174,Start,East South Central,5074296
Alabama,"Petrey, Alabama",1096817791,C,East South Central,5074296
Alabama,"Phenix City, Alabama",1160284984,C,East South Central,5074296
Alabama,"Phil Campbell, Alabama",1176609767,C,East South Central,5074296
Alabama,"Pickensville, Alabama",1166211277,C,East South Central,5074296
Alabama,"Piedmont, Alabama",1174026676,C,East South Central,5074296
Alabama,"Pike Road, Alabama",1170574167,C,East South Central,5074296
Alabama,"Pinckard, Alabama",1166211323,Start,East South Central,5074296
Alabama,"Pine Apple, Alabama",1166211355,C,East South Central,5074296
Alabama,"Pine Hill, Alabama",1166211367,Start,East South Central,5074296
Alabama,"Pine Ridge, Alabama",1166211388,Start,East South Central,5074296
Alabama,"Pinson, Alabama",1178582292,C,East South Central,5074296
Alabama,"Pisgah, Alabama",1166211442,C,East South Central,5074296
Alabama,"Pleasant Grove, Alabama",1177636010,C,East South Central,5074296
Alabama,"Pleasant Groves, Alabama",1166229073,Start,East South Central,5074296
Alabama,"Pollard, Alabama",1166229176,Start,East South Central,5074296
Alabama,"Powell, Alabama",1166229333,C,East South Central,5074296
Alabama,"Prattville, Alabama",1167939343,C,East South Central,5074296
Alabama,"Priceville, Alabama",1166229409,C,East South Central,5074296
Alabama,"Prichard, Alabama",1176865405,C,East South Central,5074296
Alabama,"Providence, Alabama",1166229472,Start,East South Central,5074296
Alabama,"Ragland, Alabama",1166229540,C,East South Central,5074296
Alabama,"Rainbow City, Alabama",1158827266,GA,East South Central,5074296
Alabama,"Rainsville, Alabama",1171084402,C,East South Central,5074296
Alabama,"Ranburne, Alabama",1166229569,C,East South Central,5074296
Alabama,"Red Bay, Alabama",1169333757,C,East South Central,5074296
Alabama,"Red Level, Alabama",1166229671,C,East South Central,5074296
Alabama,"Reece City, Alabama",1166229699,Start,East South Central,5074296
Alabama,"Reform, Alabama",1165899409,C,East South Central,5074296
Alabama,"Rehobeth, Alabama",1172196089,C,East South Central,5074296
Alabama,"Repton, Alabama",1166229759,Start,East South Central,5074296
Alabama,"Ridgeville, Alabama",1166229906,Start,East South Central,5074296
Alabama,"River Falls, Alabama",1166230019,C,East South Central,5074296
Alabama,"Riverside, Alabama",1166230024,C,East South Central,5074296
Alabama,"Riverview, Alabama",1166230040,Start,East South Central,5074296
Alabama,"Roanoke, Alabama",1165899878,C,East South Central,5074296
Alabama,"Robertsdale, Alabama",1166314424,C,East South Central,5074296
Alabama,"Rockford, Alabama",1169199856,GA,East South Central,5074296
Alabama,"Rogersville, Alabama",1166230187,C,East South Central,5074296
Alabama,"Rosa, Alabama",1166230264,Start,East South Central,5074296
Alabama,"Russellville, Alabama",1165900503,GA,East South Central,5074296
Alabama,"Rutledge, Alabama",1166230534,Start,East South Central,5074296
Alabama,"St. Florian, Alabama",1166330128,C,East South Central,5074296
Alabama,"Samson, Alabama",1165900688,C,East South Central,5074296
Alabama,"Sand Rock, Alabama",1166230657,C,East South Central,5074296
Alabama,"Sanford, Alabama",1166230687,Start,East South Central,5074296
Alabama,"Saraland, Alabama",1176013392,GA,East South Central,5074296
Alabama,"Sardis City, Alabama",1166230721,C,East South Central,5074296
Alabama,"Satsuma, Alabama",1165900914,C,East South Central,5074296
Alabama,"Scottsboro, Alabama",1174635424,C,East South Central,5074296
Alabama,"Section, Alabama",1166230919,C,East South Central,5074296
Alabama,"Selma, Alabama",1143473983,C,East South Central,5074296
Alabama,"Sheffield, Alabama",1178910007,C,East South Central,5074296
Alabama,"Shiloh, DeKalb County, Alabama",1166231236,C,East South Central,5074296
Alabama,"Shorter, Alabama",1167174337,C,East South Central,5074296
Alabama,"Silas, Alabama",1166231326,C,East South Central,5074296
Alabama,"Silverhill, Alabama",1178521390,C,East South Central,5074296
Alabama,"Sipsey, Alabama",1166231394,Start,East South Central,5074296
Alabama,"Skyline, Alabama",1166231421,C,East South Central,5074296
Alabama,"Slocomb, Alabama",1165901938,Start,East South Central,5074296
Alabama,"Smiths Station, Alabama",1165901985,C,East South Central,5074296
Alabama,"Snead, Alabama",1166231481,Start,East South Central,5074296
Alabama,"Somerville, Alabama",1166231524,C,East South Central,5074296
Alabama,"South Vinemont, Alabama",1166329815,Start,East South Central,5074296
Alabama,"Southside, Alabama",1165902345,C,East South Central,5074296
Alabama,"Spanish Fort, Alabama",1178909983,C,East South Central,5074296
Alabama,"Springville, Alabama",1165902747,C,East South Central,5074296
Alabama,"Steele, Alabama",1166330411,C,East South Central,5074296
Alabama,"Stevenson, Alabama",1165903151,C,East South Central,5074296
Alabama,"Sulligent, Alabama",1165903367,C,East South Central,5074296
Alabama,"Sumiton, Alabama",1177623469,C,East South Central,5074296
Alabama,"Summerdale, Alabama",1166330782,C,East South Central,5074296
Alabama,"Susan Moore, Alabama",1166330933,C,East South Central,5074296
Alabama,"Sweet Water, Alabama",1170589664,GA,East South Central,5074296
Alabama,"Sylacauga, Alabama",1176796677,C,East South Central,5074296
Alabama,"Sylvan Springs, Alabama",1177624259,Start,East South Central,5074296
Alabama,"Sylvania, Alabama",1166331023,GA,East South Central,5074296
Alabama,"Talladega Springs, Alabama",1166331095,C,East South Central,5074296
Alabama,"Talladega, Alabama",1165903654,C,East South Central,5074296
Alabama,"Tallassee, Alabama",1151228134,C,East South Central,5074296
Alabama,"Tarrant, Alabama",1177783643,C,East South Central,5074296
Alabama,"Taylor, Alabama",1166331142,C,East South Central,5074296
Alabama,"Thomaston, Alabama",1166331276,C,East South Central,5074296
Alabama,"Thomasville, Alabama",1178846594,GA,East South Central,5074296
Alabama,"Thorsby, Alabama",1166331319,C,East South Central,5074296
Alabama,"Town Creek, Alabama",1166331496,C,East South Central,5074296
Alabama,"Toxey, Alabama",1166331527,Start,East South Central,5074296
Alabama,"Trafford, Alabama",1166331545,Start,East South Central,5074296
Alabama,"Triana, Alabama",1178614293,GA,East South Central,5074296
Alabama,"Trinity, Alabama",1166331634,C,East South Central,5074296
Alabama,"Troy, Alabama",1176314436,C,East South Central,5074296
Alabama,"Trussville, Alabama",1175000150,C,East South Central,5074296
Alabama,"Tuscaloosa, Alabama",1179478135,B,East South Central,5074296
Alabama,"Tuscumbia, Alabama",1178910105,GA,East South Central,5074296
